redhat jgroups	Product redhat jgroups
CVE-2016-2141	JGroups 4.0 require proper headers ENCRYPT AUTH protocols nodes joining cluster , allows remote attackers bypass security restrictions send receive messages within cluster via unspecified vectors .
CWE-918	Server-Side Request Forgery ( SSRF )
bigbluebutton bigbluebutton	Product bigbluebutton bigbluebutton
CVE-2020-25820	BigBlueButton 2.2.7 allows remote authenticated users read local files conduct SSRF attacks via uploaded Office document crafted URL ODF xlink field .
CWE-20	Improper Input Validation
jenkins openshift_pipeline	Product jenkins openshift_pipeline
CVE-2020-2167	Jenkins OpenShift Pipeline Plugin 1.0.56 earlier configure YAML parser prevent instantiation arbitrary types , resulting remote code execution vulnerability .
CWE-1188	Initialization Resource Insecure Default
gruntjs grunt	Product gruntjs grunt
debian debian_linux	Product debian debian_linux
canonical ubuntu_linux	Product canonical ubuntu_linux
CVE-2020-7729	package grunt 1.3.0 vulnerable Arbitrary Code Execution due default usage function load ( ) instead secure replacement safeLoad ( ) package js-yaml inside grunt.file.readYAML .
CWE-79	Improper Neutralization Input Web Page Generation ( 'Cross-site Scripting ' )
pivotal_software spring_framework	Product pivotal_software spring_framework
CVE-2014-1904	Cross-site scripting ( XSS ) vulnerability web/servlet/tags/form/FormTag.java Spring MVC Spring Framework 3.0.0 3.2.8 4.0.0 4.0.2 allows remote attackers inject arbitrary web script HTML via requested URI default action .
CWE-732	Incorrect Permission Assignment Critical Resource
apache struts	Product apache struts
redhat jboss_enterprise_web_server	Product redhat jboss_enterprise_web_server
CVE-2011-3923	Apache Struts 2.3.1.2 allows remote attackers bypass security protections ParameterInterceptor class execute arbitrary commands .
CWE-352	Cross-Site Request Forgery ( CSRF )
jenkins active_directory	Product jenkins active_directory
CVE-2020-2303	cross-site request forgery ( CSRF ) vulnerability Jenkins Active Directory Plugin 2.19 earlier allows attackers perform connection tests , connecting attacker-specified previously configured Active Directory servers using attacker-specified credentials .
apache deltaspike	Product apache deltaspike
CVE-2017-17837	Apache DeltaSpike-JSF 1.8.0 module XSS injection leak windowId handling . default size windowId get 's cut 10 characters ( default ) , impact might limited . fix got applied released Apache deltaspike-1.8.1 .
CWE-522	Insufficiently Protected Credentials
jenkins assembla	Product jenkins assembla
CVE-2019-10420	Jenkins Assembla Plugin stores credentials unencrypted global configuration file Jenkins master viewed users access master file system .
CWE-319	Cleartext Transmission Sensitive Information
eclipse hawkbit	Product eclipse hawkbit
CVE-2019-10240	Eclipse hawkBit versions prior 0.3.0M2 resolved Maven build artifacts Vaadin based UI HTTP instead HTTPS . dependent artifacts could maliciously compromised MITM attack . Hence produced build artifacts hawkBit might infected .
CWE-94	Improper Control Generation Code ( 'Code Injection ' )
eviware soapui	Product eviware soapui
smartbear soapui	Product smartbear soapui
CVE-2014-1202	WSDL/WADL import functionality SoapUI 4.6.4 allows remote attackers execute arbitrary Java code via crafted request parameter WSDL file .
CWE-400	Uncontrolled Resource Consumption
metadataextractor_project metadataextractor	Product metadataextractor_project metadataextractor
CVE-2019-14262	MetadataExtractor 2.1.0 allows stack consumption .
CWE-829	Inclusion Functionality Untrusted Control Sphere
apache cxf	Product apache cxf
CVE-2010-2076	Apache CXF 2.0.x 2.0.13 , 2.1.x 2.1.10 , 2.2.x 2.2.9 , used Apache ServiceMix , Apache Camel , Apache Chemistry , Apache jUDDI , Apache Geronimo , products , properly reject DTDs SOAP messages , allows remote attackers read arbitrary files , send HTTP requests intranet servers , cause denial service ( CPU memory consumption ) via crafted DTD , demonstrated entity declaration request samples/wsdl_first_pure_xml , similar issue CVE-2010-1632 .
CWE-346	Origin Validation Error
apache nifi	Product apache nifi
CVE-2017-7667	Apache NiFi 0.7.4 1.x 1.3.0 need establish response header telling browsers allow framing origin .
CWE-22	Improper Limitation Pathname Restricted Directory ( 'Path Traversal ' )
CVE-2015-1830	Directory traversal vulnerability fileserver upload/download functionality blob messages Apache ActiveMQ 5.x 5.11.2 Windows allows remote attackers create JSP files arbitrary directories via unspecified vectors .
opendaylight karaf	Product opendaylight karaf
CVE-2017-1000406	OpenDaylight Karaf 0.6.1-Carbon fails clear cache password change , allowing old password used Karaf cache manually cleared ( e.g . via restart ) .
redhat openshift	Product redhat openshift
jenkins jenkins	Product jenkins jenkins
CVE-2014-3681	Cross-site scripting ( XSS ) vulnerability Jenkins 1.583 LTS 1.565.3 allows remote attackers inject arbitrary web script HTML via unspecified vectors .
apache cxf_fediz	Product apache cxf_fediz
CVE-2017-7662	Apache CXF Fediz ships OpenId Connect ( OIDC ) service Client Registration Service , simple web application allows clients created , deleted , etc . CSRF ( Cross Style Request Forgery ) style vulnerability found web application Apache CXF Fediz prior 1.4.0 1.3.2 , meaning malicious web application could create new clients , reset secrets , etc , admin user logged client registration service session still active .
CWE-200	Exposure Sensitive Information Unauthorized Actor
CVE-2016-3727	API URL computer/ ( master ) /api/xml Jenkins 2.3 LTS 1.651.2 allows remote authenticated users extended read permission master node obtain sensitive information global configuration via unspecified vectors .
CWE-119	Improper Restriction Operations within Bounds Memory Buffer
jsrsasign_project jsrsasign	Product jsrsasign_project jsrsasign
netapp max_data	Product netapp max_data
CVE-2020-14967	issue discovered jsrsasign package 8.0.18 Node.js . RSA PKCS1 v1.5 decryption implementation detect ciphertext modification prepending '\0 ' bytes ciphertexts ( decrypts modified ciphertexts without error ) . attacker might prepend bytes goal triggering memory corruption issues .
jboss ironjacamar	Product jboss ironjacamar
CVE-2012-3428	IronJacamar container 1.0.12.Final JBoss Application Server , allow-multiple-users enabled conjunction security domain , use credentials supplied getConnection function call , allows remote attackers obtain access arbitrary datasource connection opportunistic circumstances via invalid connection attempt .
vmware springsource_spring_security	Product vmware springsource_spring_security
CVE-2012-5055	DaoAuthenticationProvider VMware SpringSource Spring Security 2.0.8 , 3.0.x 3.0.8 , 3.1.x 3.1.3 check password user found , makes response delay shorter might allow remote attackers enumerate valid usernames via series login requests .
graylog graylog	Product graylog graylog
