ID,Values from Dict1
CVE-2016-2141,"'maven:jgroups:jgroups-all', 'maven:jgroups:jgroups', 'maven:org.jgroups:jgroups'"
CVE-2020-25820,'maven:org.freeswitch.esl.client:java-esl-client'
CVE-2020-2167,'maven:com.openshift.jenkins:openshift-pipeline'
CVE-2020-7729,"'maven:org.webjars.bower:FlipClock', 'maven:org.webjars.npm:floatthead', 'maven:org.webjars.npm:grunt'"
CVE-2014-1904,"'maven:org.springframework:org.springframework.web.servlet', 'maven:org.apache.servicemix.bundles:org.apache.servicemix.bundles.spring-webmvc', 'maven:org.springframework:spring-webmvc'"
CVE-2011-3923,"'maven:com.opensymphony:xwork-core', 'maven:org.apache.struts:struts2-core', 'maven:org.apache.struts.xwork:xwork-core'"
CVE-2020-2303,'maven:org.jenkins-ci.plugins:active-directory'
CVE-2017-17837,"'maven:org.apache.deltaspike.modules:jsf-module-project', 'maven:org.apache.deltaspike.modules:deltaspike-jsf-module-impl-ee6', 'maven:org.apache.deltaspike.modules:deltaspike-jsf-module-impl'"
CVE-2019-10420,'maven:org.jenkins-ci.plugins:assembla'
CVE-2019-10240,"'maven:org.eclipse.hawkbit:hawkbit-parent', 'maven:org.eclipse.hawkbit:hawkbit-boot-starter', 'maven:org.eclipse.hawkbit:hawkbit-update-server', 'maven:org.eclipse.hawkbit:hawkbit-starters', 'maven:org.eclipse.hawkbit:hawkbit-boot-starter-mgmt-api', 'maven:org.eclipse.hawkbit:hawkbit-boot-starter-mgmt-ui', 'maven:org.eclipse.hawkbit:hawkbit-ui', 'maven:org.eclipse.hawkbit:hawkbit-boot-starter-dmf-api', 'maven:org.eclipse.hawkbit:hawkbit-autoconfigure', 'maven:org.eclipse.hawkbit:hawkbit-boot-starter-ddi-api'"
CVE-2014-1202,"'maven:org.ow2.jonas.admin:console-module-webservices-server', 'maven:com.github.redfish4ktc.soapui:soapui'"
CVE-2019-14262,'maven:com.drewnoakes:metadata-extractor'
CVE-2010-2076,"'maven:org.apache.cxf:cxf-bundle-jaxrs', 'maven:org.apache.cxf:cxf-bundle', 'maven:org.apache.cxf:cxf-bundle-minimal', 'maven:org.apache.axis2:axis2-kernel', 'maven:org.apache.cxf:cxf-rt-bindings-soap', 'maven:org.apache.cxf:cxf-common-utilities'"
CVE-2017-7667,'maven:org.apache.nifi:nifi-jetty'
CVE-2015-1830,"'maven:org.apache.activemq:activemq-fileserver', 'maven:org.apache.activemq:apache-activemq'"
CVE-2017-1000406,'maven:org.opendaylight.aaa:aaa-cli'
CVE-2014-3681,'maven:org.jenkins-ci.main:jenkins-core'
CVE-2017-7662,'maven:org.apache.cxf.fediz:fediz-cxf'
CVE-2016-3727,'maven:org.jenkins-ci.main:jenkins-core'
CVE-2020-14967,"'maven:org.webjars.bower:jsrsasign', 'maven:org.webjars.bowergithub.kjur:jsrsasign'"
CVE-2012-3428,"'maven:org.jboss.ironjacamar:ironjacamar-jdbc', 'maven:org.jboss.ironjacamar:ironjacamar-deployers-common'"
CVE-2012-5055,'maven:org.springframework.security:spring-security-core'
CVE-2018-11651,'maven:org.graylog2:graylog2-server'
CVE-2016-8738,'maven:org.apache.struts:struts2-core'
CVE-2020-1937,'maven:org.apache.kylin:kylin-server-base'
CVE-2020-2196,'maven:org.jenkins-ci.plugins:selenium'
CVE-2021-43797,"'maven:io.netty:netty-all', 'maven:io.netty:netty-codec-http'"
CVE-2015-6584,"'maven:org.webjars.npm:datatables', 'maven:org.webjars.bower:datatables', 'maven:org.webjars:datatables'"
CVE-2019-17561,'maven:org.netbeans.api:org-netbeans-modules-autoupdate-services'
CVE-2022-24197,'maven:com.itextpdf:kernel'
CVE-2018-17186,"'maven:org.apache.syncope:syncope-core', 'maven:org.apache.syncope.client:syncope-client-console'"
CVE-2017-1000397,'maven:org.jenkins-ci.main:maven-plugin'
