ID,labels,cpe,description,cwe_id,cwe_name
CVE-2016-2141,"['maven:jgroups:jgroups-all', 'maven:jgroups:jgroups', 'maven:org.jgroups:jgroups']",['redhat jgroups'],"JGroups before 4.0 does not require the proper headers for the ENCRYPT and AUTH protocols from nodes joining the cluster, which allows remote attackers to bypass security restrictions and send and receive messages within the cluster via unspecified vectors.",,
CVE-2020-25820,['maven:org.freeswitch.esl.client:java-esl-client'],['bigbluebutton bigbluebutton'],BigBlueButton before 2.2.7 allows remote authenticated users to read local files and conduct SSRF attacks via an uploaded Office document that has a crafted URL in an ODF xlink field.,CWE-918,Server-Side Request Forgery (SSRF)
CVE-2020-2167,['maven:com.openshift.jenkins:openshift-pipeline'],['jenkins openshift_pipeline'],"Jenkins OpenShift Pipeline Plugin 1.0.56 and earlier does not configure its YAML parser to prevent the instantiation of arbitrary types, resulting in a remote code execution vulnerability.",CWE-20,Improper Input Validation
CVE-2020-7729,"['maven:org.webjars.bower:FlipClock', 'maven:org.webjars.npm:floatthead', 'maven:org.webjars.npm:grunt']","['gruntjs grunt', 'debian debian_linux', 'canonical ubuntu_linux']",The package grunt before 1.3.0 are vulnerable to Arbitrary Code Execution due to the default usage of the function load() instead of its secure replacement safeLoad() of the package js-yaml inside grunt.file.readYAML.,CWE-1188,Initialization of a Resource with an Insecure Default
CVE-2014-1904,"['maven:org.springframework:org.springframework.web.servlet', 'maven:org.apache.servicemix.bundles:org.apache.servicemix.bundles.spring-webmvc', 'maven:org.springframework:spring-webmvc']",['pivotal_software spring_framework'],Cross-site scripting (XSS) vulnerability in web/servlet/tags/form/FormTag.java in Spring MVC in Spring Framework 3.0.0 before 3.2.8 and 4.0.0 before 4.0.2 allows remote attackers to inject arbitrary web script or HTML via the requested URI in a default action.,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2011-3923,"['maven:com.opensymphony:xwork-core', 'maven:org.apache.struts:struts2-core', 'maven:org.apache.struts.xwork:xwork-core']","['apache struts', 'redhat jboss_enterprise_web_server']",Apache Struts before 2.3.1.2 allows remote attackers to bypass security protections in the ParameterInterceptor class and execute arbitrary commands.,CWE-732,Incorrect Permission Assignment for Critical Resource
CVE-2020-2303,['maven:org.jenkins-ci.plugins:active-directory'],['jenkins active_directory'],"A cross-site request forgery (CSRF) vulnerability in Jenkins Active Directory Plugin 2.19 and earlier allows attackers to perform connection tests, connecting to attacker-specified or previously configured Active Directory servers using attacker-specified credentials.",CWE-352,Cross-Site Request Forgery (CSRF)
CVE-2017-17837,"['maven:org.apache.deltaspike.modules:jsf-module-project', 'maven:org.apache.deltaspike.modules:deltaspike-jsf-module-impl-ee6', 'maven:org.apache.deltaspike.modules:deltaspike-jsf-module-impl']",['apache deltaspike'],"The Apache DeltaSpike-JSF 1.8.0 module has a XSS injection leak in the windowId handling. The default size of the windowId get's cut off after 10 characters (by default), so the impact might be limited. A fix got applied and released in Apache deltaspike-1.8.1.",CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2019-10420,['maven:org.jenkins-ci.plugins:assembla'],['jenkins assembla'],Jenkins Assembla Plugin stores credentials unencrypted in its global configuration file on the Jenkins master where they can be viewed by users with access to the master file system.,CWE-522,Insufficiently Protected Credentials
CVE-2019-10240,"['maven:org.eclipse.hawkbit:hawkbit-parent', 'maven:org.eclipse.hawkbit:hawkbit-boot-starter', 'maven:org.eclipse.hawkbit:hawkbit-update-server', 'maven:org.eclipse.hawkbit:hawkbit-starters', 'maven:org.eclipse.hawkbit:hawkbit-boot-starter-mgmt-api', 'maven:org.eclipse.hawkbit:hawkbit-boot-starter-mgmt-ui', 'maven:org.eclipse.hawkbit:hawkbit-ui', 'maven:org.eclipse.hawkbit:hawkbit-boot-starter-dmf-api', 'maven:org.eclipse.hawkbit:hawkbit-autoconfigure', 'maven:org.eclipse.hawkbit:hawkbit-boot-starter-ddi-api']",['eclipse hawkbit'],Eclipse hawkBit versions prior to 0.3.0M2 resolved Maven build artifacts for the Vaadin based UI over HTTP instead of HTTPS. Any of these dependent artifacts could have been maliciously compromised by a MITM attack. Hence produced build artifacts of hawkBit might be infected.,CWE-319,Cleartext Transmission of Sensitive Information
CVE-2014-1202,"['maven:org.ow2.jonas.admin:console-module-webservices-server', 'maven:com.github.redfish4ktc.soapui:soapui']","['eviware soapui', 'smartbear soapui']",The WSDL/WADL import functionality in SoapUI before 4.6.4 allows remote attackers to execute arbitrary Java code via a crafted request parameter in a WSDL file.,CWE-94,Improper Control of Generation of Code ('Code Injection')
CVE-2019-14262,['maven:com.drewnoakes:metadata-extractor'],['metadataextractor_project metadataextractor'],MetadataExtractor 2.1.0 allows stack consumption.,CWE-400,Uncontrolled Resource Consumption
